Name,beta,gamma,n_shots,test_accuracy
revived-sweep-141,1,50,20,0.225999993
bumbling-sweep-117,1,10000,20,0.219999993
avid-sweep-13,0.001,10,20,0.219999993
warm-sweep-109,1,1000,20,0.215999991
solar-sweep-5,0.001,0.001,20,0.215999989
azure-sweep-149,1,75,20,0.209999993
pleasant-sweep-53,0.001,25,20,0.205999994
confused-sweep-133,1,25,20,0.205999991
smart-sweep-101,1,100,20,0.201999992
copper-sweep-85,1,0.001,20,0.199999996
fallen-sweep-157,1,5000,20,0.199999994
giddy-sweep-45,0.001,5,20,0.197999996
good-sweep-29,0.001,1000,20,0.195999995
vital-sweep-77,0.001,5000,20,0.193999995
copper-sweep-37,0.001,10000,20,0.189999992
deft-sweep-125,1,5,20,0.185999992
eternal-sweep-93,1,10,20,0.163999996
swept-sweep-462,10000,50,30,0.877333355
firm-sweep-478,10000,5000,30,0.870666707
jumping-sweep-470,10000,75,30,0.869333351
helpful-sweep-422,10000,100,30,0.868000019
winter-sweep-454,10000,25,30,0.854666686
clean-sweep-414,10000,10,30,0.848000026
dazzling-sweep-406,10000,0.001,30,0.848000026
daily-sweep-830,5000,1000,30,0.838666701
wandering-sweep-814,5000,10,30,0.832000017
chocolate-sweep-822,5000,100,30,0.830666673
sandy-sweep-870,5000,75,30,0.826666689
rural-sweep-862,5000,50,30,0.825333345
sandy-sweep-446,10000,5,30,0.820000017
grateful-sweep-878,5000,5000,30,0.817333353
denim-sweep-806,5000,0.001,30,0.816000021
ethereal-sweep-846,5000,5,30,0.812000024
faithful-sweep-854,5000,25,30,0.809333348
eternal-sweep-838,5000,10000,30,0.802666688
flowing-sweep-430,10000,1000,30,0.709333345
fanciful-sweep-366,1000,5,30,0.645333362
whole-sweep-326,1000,0.001,30,0.624000007
usual-sweep-334,1000,10,30,0.613333338
desert-sweep-374,1000,25,30,0.525333339
golden-sweep-358,1000,10000,30,0.500000018
eager-sweep-390,1000,75,30,0.496000001
flowing-sweep-382,1000,50,30,0.461333346
desert-sweep-350,1000,1000,30,0.434666678
playful-sweep-342,1000,100,30,0.420000005
stellar-sweep-398,1000,5000,30,0.38266668
dainty-sweep-494,5,10,30,0.244
cerulean-sweep-510,5,1000,30,0.241333342
mild-sweep-486,5,0.001,30,0.241333333
daily-sweep-534,5,25,30,0.240000004
dainty-sweep-254,100,10,30,0.238666672
charmed-sweep-526,5,5,30,0.237333339
devoted-sweep-542,5,50,30,0.236000004
sage-sweep-134,1,25,30,0.234666672
fast-sweep-550,5,75,30,0.233333337
magic-sweep-502,5,100,30,0.233333337
fresh-sweep-246,100,0.001,30,0.232000002
light-sweep-734,75,10,30,0.213333336
